dbn,school_name,school_type,enrollment,survey_pp_ri,survey_pp_ct,survey_pp_se,survey_pp_es,survey_pp_sf,survey_pp_tr,qr_1_1,qr_1_2,qr_2_2,qr_3_4,qr_4_2,qr_1_4,qr_1_3,qr_3_1,qr_4_1,qr_5_1,dates_of_review,rating_ela_grade_8_pct_rs,rating_mth_grade_8_pct_rs,gender_female_pct,gender_male_pct,ell,iep,cap_sc_pct,borough,year,total_enrollment,grade_3k,grade_pk_half_day_full_day,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,female,female_1,male,male_1,asian,asian_1,black,black_1,hispanic,hispanic_1,multi_racial,multi_racial_1,native_american,native_american_1,white,white_1,missing_race_ethnicity_data,missing_race_ethnicity_data_1,students_with_disabilities,students_with_disabilities_1,english_language_learners,english_language_learners_1,poverty,poverty_1,economic_need_index
02M519,Talent Unlimited High School,High School,532,0.84,0.88,0.75,0.91,0.92,0.97,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,2018-02-01T00:00:00.000,3.28,3.08,0.748,0.252,0.008,0.132,0.0,Manhattan,2017-18,478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,135.0,100.0,114.0,381.0,0.797,97.0,0.203,17.0,0.036,147.0,0.308,205.0,0.429,8.0,0.017,2.0,0.004,68.0,0.142,31.0,0.065,68.0,0.142,3.0,0.006,266.0,0.556,0.527
02M520,Murry Bergtraum High School for Business Careers,High School,114,0.52,0.83,0.6,0.86,0.91,0.81,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,2017-01-01T00:00:00.000,2.82,2.49,0.614,0.386,0.026,0.105,0.0,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M529,Jacqueline Kennedy Onassis High School,High School,302,0.58,0.58,0.64,0.6,0.81,0.71,Developing,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,2016-11-01T00:00:00.000,2.68,2.42,0.523,0.477,0.063,0.222,0.04,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M531,Repertory Company High School for Theatre Arts,High School,237,0.75,0.8,0.68,0.84,0.85,0.85,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,2019-11-01T00:00:00.000,3.34,3.12,0.793,0.207,0.0,0.173,0.0,Manhattan,2019-20,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,67.0,58.0,51.0,188.0,0.793,49.0,0.207,3.0,0.013,74.0,0.312,95.0,0.401,7.0,0.03,0.0,0.0,51.0,0.215,7.0,0.03,41.0,0.173,0.0,0.0,163.0,0.688,0.505
02M533,Union Square Academy for Health Sciences,High School,404,0.75,0.76,0.7,0.8,0.89,0.85,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,2018-11-01T00:00:00.000,2.84,2.71,0.686,0.314,0.057,0.176,0.002,Manhattan,2018-19,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,107.0,90.0,81.0,275.0,0.664,139.0,0.336,49.0,0.118,83.0,0.2,247.0,0.597,1.0,0.002,1.0,0.002,25.0,0.06,8.0,0.019,63.0,0.152,31.0,0.075,351.0,0.848,0.8320000000000001
02M534,Harvest Collegiate High School,High School,440,0.55,0.81,0.61,0.96,0.91,0.86,Proficient,Developing,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,2017-02-01T00:00:00.000,3.01,2.77,0.573,0.427,0.03,0.234,0.009,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M542,Manhattan Bridges High School,High School,520,0.89,0.85,0.87,0.87,0.92,0.88,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,No Data,No Data,No Data,No Data,No Data,2015-01-22T00:00:00.000,2.44,2.66,0.506,0.494,0.362,0.054,0.0,Manhattan,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M543,New Design High School,High School,454,0.77,0.88,0.79,0.79,0.76,0.93,Proficient,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,2018-05-01T00:00:00.000,2.69,2.4,0.628,0.372,0.04,0.286,0.0,Manhattan,2017-18,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,125.0,81.0,86.0,255.0,0.597,172.0,0.403,28.0,0.066,157.0,0.368,226.0,0.529,4.0,0.009,1.0,0.002,6.0,0.014,5.0,0.012,115.0,0.269,22.0,0.052,348.0,0.815,0.865
02M545,High School for Dual Language and Asian Studies,High School,396,0.57,0.67,0.69,0.6,0.89,0.73,Proficient,Proficient,Proficient,Proficient,Developing,Well Developed,Well Developed,Proficient,Proficient,Developing,2017-03-01T00:00:00.000,3.21,3.99,0.586,0.414,0.131,0.03,0.0,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M546,Academy for Software Engineering,High School,453,0.68,0.86,0.67,0.84,0.84,0.89,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,2018-02-01T00:00:00.000,2.97,2.98,0.166,0.834,0.046,0.256,0.002,Manhattan,2017-18,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,124.0,97.0,115.0,88.0,0.191,372.0,0.809,35.0,0.076,105.0,0.228,254.0,0.552,2.0,0.004,2.0,0.004,48.0,0.104,14.0,0.03,119.0,0.259,19.0,0.041,321.0,0.698,0.6829999999999999
02M551,Urban Assembly New York Harbor School,High School,523,0.58,0.86,0.64,0.93,0.86,0.87,Developing,Developing,Developing,Well Developed,Developing,Well Developed,Well Developed,Proficient,Proficient,Proficient,2017-01-01T00:00:00.000,3.07,2.92,0.338,0.662,0.01,0.247,0.0,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M580,Richard R. Green High School of Teaching,High School,352,0.84,0.83,0.82,0.83,0.89,0.9,Proficient,Proficient,Developing,Proficient,Developing,Well Developed,Proficient,Proficient,Proficient,Proficient,2017-04-01T00:00:00.000,2.86,2.65,0.659,0.341,0.04,0.207,0.003,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M600,The High School of Fashion Industries,High School,1589,0.78,0.85,0.76,0.92,0.9,0.91,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,2019-05-01T00:00:00.000,3.06,2.78,0.896,0.104,0.03,0.172,0.035,Manhattan,2018-19,1577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,399.0,330.0,317.0,1443.0,0.915,134.0,0.085,85.0,0.054,490.0,0.311,890.0,0.564,4.0,0.003,9.0,0.006,83.0,0.053,16.0,0.01,256.0,0.162,51.0,0.032,,0.815,0.763
02M605,Humanities Preparatory Academy,High School,261,0.83,0.91,0.98,0.93,0.96,1.0,Well Developed,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Proficient,Well Developed,Well Developed,2018-01-01T00:00:00.000,3.0,2.69,0.544,0.456,0.042,0.192,0.004,Manhattan,2017-18,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,61.0,58.0,60.0,129.0,0.549,106.0,0.451,17.0,0.072,52.0,0.221,144.0,0.613,2.0,0.009,1.0,0.004,17.0,0.072,2.0,0.009,44.0,0.187,8.0,0.034,195.0,0.83,0.7709999999999999
02M615,Chelsea Career and Technical Education High School,High School,449,0.71,0.78,0.67,0.77,0.89,0.82,Proficient,Developing,Proficient,Proficient,Developing,Developing,Proficient,Under Developed,Proficient,Proficient,2018-03-01T00:00:00.000,2.92,2.79,0.272,0.728,0.049,0.232,0.004,Manhattan,2017-18,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,115.0,83.0,83.0,129.0,0.3,300.0,0.698,46.0,0.107,95.0,0.221,260.0,0.605,1.0,0.002,3.0,0.007,17.0,0.04,8.0,0.019,81.0,0.188,17.0,0.04,382.0,0.888,0.794
02M630,Art and Design High School,High School,1465,0.69,0.74,0.68,0.79,0.87,0.83,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,2016-10-01T00:00:00.000,3.36,3.17,0.666,0.334,0.008,0.22,0.018,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M655,Life Sciences Secondary School,High School,394,0.91,0.96,0.91,0.96,0.91,0.97,Developing,Developing,Developing,Developing,Proficient,No Data,No Data,No Data,No Data,No Data,2016-04-12T00:00:00.000,2.69,2.46,0.51,0.49,0.099,0.208,0.018,Manhattan,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03M291,West End Secondary School,High School,217,0.83,0.79,0.69,0.83,0.94,0.88,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,No Data,No Data,No Data,No Data,No Data,2016-05-31T00:00:00.000,3.49,3.39,0.608,0.392,0.0,0.235,0.0,Manhattan,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03M299,The Maxine Greene HS for Imaginative Inquiry,High School,285,,,,0.88,0.87,0.91,Developing,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,2018-01-01T00:00:00.000,2.69,2.4,0.519,0.481,0.14,0.249,0.028,Manhattan,2017-18,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,122.0,85.0,67.0,206.0,0.545,172.0,0.455,6.0,0.016,133.0,0.352,219.0,0.579,1.0,0.003,2.0,0.005,7.0,0.019,10.0,0.026,86.0,0.228,42.0,0.111,316.0,0.836,0.873
03M307,"Urban Assembly School for Media Studies, The",High School,409,0.79,0.95,0.74,0.94,0.93,0.92,Well Developed,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,2017-05-01T00:00:00.000,2.8,2.54,0.526,0.474,0.024,0.166,0.002,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03M402,The Urban Assembly School for Green Careers,High School,305,0.69,0.76,0.75,0.69,0.75,0.83,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Well Developed,2018-01-01T00:00:00.000,2.76,2.48,0.416,0.584,0.108,0.226,0.0,Manhattan,2017-18,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,76.0,77.0,71.0,143.0,0.46,167.0,0.537,7.0,0.023,85.0,0.273,191.0,0.614,1.0,0.003,1.0,0.003,21.0,0.068,5.0,0.016,85.0,0.273,41.0,0.132,268.0,0.862,0.826
03M403,The Global Learning Collaborative,High School,419,0.77,0.86,0.82,0.91,0.88,0.84,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,2017-05-01T00:00:00.000,2.73,2.6,0.487,0.513,0.095,0.222,0.005,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03M415,Wadleigh Secondary School for the Performing & Vis,High School,226,0.79,0.86,0.75,0.87,0.85,0.81,Developing,Developing,Developing,Developing,Developing,Developing,Proficient,Proficient,Proficient,Developing,2018-05-01T00:00:00.000,2.87,2.45,0.673,0.327,0.035,0.212,0.004,Manhattan,2017-18,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,24.0,16.0,70.0,51.0,43.0,40.0,188.0,0.676,90.0,0.324,2.0,0.007,150.0,0.54,109.0,0.392,1.0,0.004,4.0,0.014,8.0,0.029,4.0,0.014,71.0,0.255,9.0,0.032,229.0,0.8240000000000001,0.85
03M417,Frank McCourt High School,High School,402,0.81,0.86,0.77,0.88,0.89,0.92,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,2017-11-01T00:00:00.000,3.22,3.22,0.547,0.453,0.017,0.211,0.0,Manhattan,2017-18,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,103.0,102.0,92.0,224.0,0.545,186.0,0.453,17.0,0.041,64.0,0.156,184.0,0.448,5.0,0.012,2.0,0.005,121.0,0.294,18.0,0.044,83.0,0.202,10.0,0.024,228.0,0.555,0.49200000000000005
03M479,Beacon High School,High School,1469,0.86,0.67,0.74,0.63,0.8,0.77,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,2018-04-01T00:00:00.000,3.91,3.98,0.626,0.374,0.001,0.128,0.003,Manhattan,2017-18,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,359.0,312.0,319.0,868.0,0.629,510.0,0.37,121.0,0.088,186.0,0.135,262.0,0.19,29.0,0.021,11.0,0.008,695.0,0.504,76.0,0.055,125.0,0.091,4.0,0.003,354.0,0.257,0.297
03M485,Fiorello H. LaGuardia High School of Music & Art a,High School,2946,0.76,0.73,0.75,0.77,0.82,0.88,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,2017-01-01T00:00:00.000,3.89,3.99,0.757,0.243,0.002,0.03,0.0,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03M492,"High School for Law, Advocacy and Community Justic",High School,405,0.72,0.62,0.66,0.73,0.94,0.81,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Well Developed,Proficient,2018-04-01T00:00:00.000,2.86,2.58,0.593,0.407,0.044,0.156,0.002,Manhattan,2017-18,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,129.0,87.0,105.0,269.0,0.577,197.0,0.423,11.0,0.024,162.0,0.348,276.0,0.592,3.0,0.006,1.0,0.002,13.0,0.028,0.0,0.0,91.0,0.195,26.0,0.056,416.0,0.893,0.831
03M494,High School of Arts and Technology,High School,459,0.67,0.67,0.44,0.62,0.59,0.69,Developing,Developing,Under Developed,Developing,Developing,Proficient,Proficient,Developing,Proficient,Under Developed,2016-10-01T00:00:00.000,2.69,2.49,0.333,0.667,0.072,0.235,0.033,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03M541,Manhattan / Hunter Science High School,High School,455,0.8,0.76,0.78,0.83,0.79,0.86,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,2019-05-01T00:00:00.000,3.86,3.98,0.602,0.398,0.004,0.143,0.0,Manhattan,2018-19,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,112.0,115.0,103.0,257.0,0.583,184.0,0.417,120.0,0.272,72.0,0.163,135.0,0.306,8.0,0.018,2.0,0.005,92.0,0.209,12.0,0.027,61.0,0.138,0.0,0.0,263.0,0.596,0.539
03M859,Special Music School,High School,175,0.67,0.81,0.72,0.87,0.95,0.85,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,2020-01-01T00:00:00.000,3.64,3.56,0.503,0.497,0.006,0.154,0.0,Manhattan,2019-20,306.0,0.0,0.0,13.0,14.0,15.0,15.0,15.0,15.0,14.0,12.0,18.0,38.0,41.0,48.0,48.0,153.0,0.5,153.0,0.5,43.0,0.141,22.0,0.072,46.0,0.15,32.0,0.105,3.0,0.01,141.0,0.461,19.0,0.062,36.0,0.118,2.0,0.007,59.0,0.193,0.295
03M860,Frederick Douglass Academy II Secondary School,High School,248,0.72,0.74,0.66,0.76,0.9,0.84,Proficient,Developing,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,2016-12-01T00:00:00.000,2.51,2.27,0.415,0.585,0.089,0.25,0.0,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04M372,Esperanza Preparatory Academy,High School,313,0.74,0.85,0.69,0.88,0.93,0.9,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,2017-12-01T00:00:00.000,2.54,2.31,0.425,0.575,0.342,0.198,0.061,Manhattan,2017-18,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,63.0,71.0,90.0,117.0,76.0,85.0,266.0,0.476,293.0,0.524,12.0,0.021,62.0,0.111,475.0,0.85,0.0,0.0,0.0,0.0,9.0,0.016,1.0,0.002,138.0,0.247,170.0,0.304,518.0,0.927,0.932
04M435,Manhattan Center for Science and Mathematics,High School,1647,0.96,0.96,0.97,0.95,0.83,0.94,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,2017-11-01T00:00:00.000,3.47,3.62,0.502,0.498,0.055,0.14,0.002,Manhattan,2017-18,1625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,429.0,378.0,392.0,807.0,0.497,816.0,0.502,312.0,0.192,299.0,0.184,884.0,0.544,5.0,0.003,15.0,0.009,80.0,0.049,30.0,0.018,196.0,0.121,112.0,0.069,,0.857,0.77
04M495,Park East High School,High School,380,,,,0.96,0.89,0.96,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,2016-11-01T00:00:00.000,3.02,2.98,0.503,0.497,0.029,0.203,0.0,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04M555,Central Park East High School,High School,512,0.87,0.95,0.86,0.96,0.89,0.95,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,No Data,No Data,No Data,No Data,No Data,2015-03-18T00:00:00.000,3.5,3.57,0.645,0.355,0.012,0.156,0.0,Manhattan,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04M610,Young Women's Leadership School,High School,322,0.89,0.89,0.83,0.9,0.86,0.9,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,2020-01-01T00:00:00.000,3.3,3.22,1.0,0.0,0.019,0.193,0.0,Manhattan,2019-20,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,50.0,56.0,82.0,78.0,81.0,81.0,474.0,1.0,0.0,0.0,35.0,0.074,122.0,0.257,274.0,0.578,1.0,0.002,3.0,0.006,17.0,0.036,22.0,0.046,92.0,0.194,8.0,0.017,377.0,0.795,0.815
04M680,"Heritage School, The",High School,311,0.71,0.9,0.64,0.9,0.81,0.89,Developing,Developing,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,2017-04-01T00:00:00.000,2.59,2.29,0.511,0.489,0.068,0.209,0.003,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05M148,Eagle Academy for Young Men of Harlem,High School,238,0.55,0.58,0.57,0.57,0.78,0.75,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,2016-12-01T00:00:00.000,2.66,2.37,0.0,1.0,0.063,0.277,0.063,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05M157,The Urban Assembly School for Global Commerce,High School,233,0.7,0.7,0.62,0.63,0.83,0.73,Proficient,Developing,Developing,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,2017-02-01T00:00:00.000,2.53,2.24,0.485,0.515,0.099,0.326,0.056,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05M304,Mott Hall High School,High School,239,0.66,0.71,0.59,0.69,0.82,0.75,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,2016-12-01T00:00:00.000,2.45,2.16,0.49,0.51,0.18,0.289,0.004,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05M362,Columbia Secondary School,High School,406,0.92,0.82,0.74,0.89,0.9,0.96,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,2018-12-01T00:00:00.000,3.78,4.04,0.51,0.49,0.005,0.16,0.0,Manhattan,2018-19,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,97.0,101.0,114.0,116.0,95.0,96.0,371.0,0.517,347.0,0.483,64.0,0.089,148.0,0.206,280.0,0.39,14.0,0.019,6.0,0.008,186.0,0.259,20.0,0.028,119.0,0.166,4.0,0.006,358.0,0.499,0.531
05M369,Urban Assembly School for the Performing Arts,High School,379,,,,,,,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,2017-02-01T00:00:00.000,2.65,2.33,0.784,0.216,0.063,0.235,0.047,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05M499,Frederick Douglass Academy,High School,837,0.78,0.79,0.78,0.78,0.85,0.86,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,2018-02-01T00:00:00.000,2.94,2.72,0.467,0.533,0.045,0.16,0.007,Manhattan,2017-18,1362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,95.0,85.0,273.0,290.0,270.0,252.0,635.0,0.466,726.0,0.533,19.0,0.014,947.0,0.695,334.0,0.245,4.0,0.003,8.0,0.006,23.0,0.017,27.0,0.02,219.0,0.161,57.0,0.042,,0.7759999999999999,0.8029999999999999
05M670,Thurgood Marshall Academy for Learning and Social,High School,374,0.67,0.67,0.64,0.62,0.8,0.72,Proficient,Developing,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Well Developed,Proficient,2017-11-01T00:00:00.000,2.84,2.47,0.508,0.492,0.035,0.238,0.021,Manhattan,2017-18,547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,55.0,58.0,101.0,108.0,86.0,79.0,297.0,0.543,250.0,0.457,10.0,0.018,381.0,0.697,141.0,0.258,0.0,0.0,3.0,0.005,7.0,0.013,5.0,0.009,106.0,0.194,19.0,0.035,413.0,0.755,0.7929999999999999
05M692,"High School for Mathematics, Science and Engineeri",High School,485,,,,0.94,0.85,0.93,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Proficient,2019-11-01T00:00:00.000,4.0,4.27,0.375,0.625,0.0,0.056,0.0,Manhattan,2019-20,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,100.0,141.0,125.0,182.0,0.375,303.0,0.625,145.0,0.299,37.0,0.076,83.0,0.171,11.0,0.023,8.0,0.016,141.0,0.291,60.0,0.124,28.0,0.058,0.0,0.0,180.0,0.371,0.379
06M211,Inwood Early College for Health and Information Te,High School,459,0.72,0.78,0.69,0.78,0.9,0.88,Proficient,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,2017-05-01T00:00:00.000,2.84,2.71,0.449,0.551,0.098,0.242,0.0,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06M293,City College Academy of the Arts,High School,354,0.71,0.71,0.57,0.66,0.87,0.76,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,2017-04-01T00:00:00.000,3.32,3.39,0.514,0.486,0.025,0.144,0.0,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06M346,Community Health Academy of the Heights,High School,422,0.9,0.95,0.92,0.97,1.0,0.98,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,2017-01-01T00:00:00.000,2.87,2.58,0.524,0.476,0.097,0.168,0.002,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06M348,Washington Heights Expeditionary Learning School,High School,383,0.81,0.91,0.79,0.85,0.91,0.92,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Proficient,2018-02-01T00:00:00.000,2.88,2.73,0.488,0.512,0.094,0.209,0.0,Manhattan,2017-18,815.0,0.0,31.0,37.0,36.0,32.0,38.0,0.0,0.0,84.0,87.0,87.0,94.0,108.0,95.0,86.0,375.0,0.46,440.0,0.54,7.0,0.009,28.0,0.034,747.0,0.917,3.0,0.004,1.0,0.001,28.0,0.034,1.0,0.001,179.0,0.22,126.0,0.155,630.0,0.773,0.8390000000000001
06M462,The College Academy,High School,367,0.83,0.94,0.89,0.93,0.95,0.95,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,2020-03-01T00:00:00.000,2.34,2.15,0.428,0.572,0.534,0.207,0.03,Manhattan,2019-20,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,84.0,104.0,80.0,157.0,0.428,210.0,0.572,2.0,0.005,27.0,0.074,326.0,0.888,0.0,0.0,2.0,0.005,7.0,0.019,3.0,0.008,76.0,0.207,199.0,0.542,339.0,0.924,0.929
06M463,High School for Media and Communications,High School,350,0.71,0.83,0.78,0.84,0.93,0.91,Proficient,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,2020-02-01T00:00:00.000,2.5,2.22,0.466,0.534,0.474,0.189,0.009,Manhattan,2019-20,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,111.0,67.0,79.0,163.0,0.466,187.0,0.534,4.0,0.011,27.0,0.077,310.0,0.886,1.0,0.003,1.0,0.003,6.0,0.017,1.0,0.003,65.0,0.186,168.0,0.48,323.0,0.9229999999999999,0.924
06M467,High School for Law and Public Service,High School,445,0.87,0.9,0.84,0.93,0.95,0.96,Developing,Developing,Proficient,Developing,Developing,Developing,Proficient,Proficient,Proficient,Developing,2016-11-01T00:00:00.000,2.5,2.3,0.515,0.485,0.357,0.258,0.09,Manhattan,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
